ID blockLevel entryType dataType returnType arrayMax
x 0 ARRAY INT NOTHING 10 
minloc 0 FUNCTION NOTHING INT 0 
a 1 ARRAY INT NOTHING 0 
low 1 VARIABLE INT NOTHING 0 
high 1 VARIABLE INT NOTHING 0 
i 1 VARIABLE INT NOTHING 0 
x 1 VARIABLE INT NOTHING 0 
k 1 VARIABLE INT NOTHING 0 
sort 0 FUNCTION NOTHING VOID 0 
a 1 ARRAY INT NOTHING 0 
low 1 VARIABLE INT NOTHING 0 
high 1 VARIABLE INT NOTHING 0 
i 1 VARIABLE INT NOTHING 0 
k 1 VARIABLE INT NOTHING 0 
t 1 VARIABLE INT NOTHING 0 
t 2 VARIABLE INT NOTHING 0 
main 0 FUNCTION NOTHING VOID 0 
i 1 VARIABLE INT NOTHING 0 
